Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
30.11.2002;95.045;98.4589;97.8565;100.0347;89.9355;103.1516;98.144
31.12.2002;94.9867;98.4338;97.9123;100.4279;90.0952;103.1955;97.4691
31.01.2003;95.0626;98.8467;98.2313;100.0704;90.8706;102.8816;99.3022
28.02.2003;95.1562;99.5626;99.0109;101.388;89.9363;102.4859;103.1357
31.03.2003;95.5392;100.4362;99.9319;101.4425;90.2695;102.1657;107.7505
30.04.2003;95.7291;100.3039;99.89;102.1526;90.8383;102.6608;105.613
31.05.2003;95.5757;100.2902;99.7824;102.1674;90.9138;102.6845;104.6573
30.06.2003;95.5776;100.7895;100.3316;101.7277;91.6861;102.5569;107.3869
31.07.2003;94.8114;100.0105;99.4945;100.7575;91.9131;102.3591;104.2503
31.08.2003;95.0321;100.355;99.8776;102.2769;91.6667;102.5202;104.4809
30.09.2003;95.1698;100.7385;100.2916;101.9388;90.8236;102.7503;108.0154
31.10.2003;95.6525;100.8116;100.3475;101.7477;90.8759;102.7394;108.2171
30.11.2003;95.5322;100.5361;100.1411;102.0502;91.9074;102.822;105.3479
31.12.2003;95.5507;100.6836;100.2269;102.3336;92.45;103.0988;104.7044
31.01.2004;95.2266;101.2015;100.7657;101.9009;92.8052;103.2507;106.508
29.02.2004;95.2425;100.8741;100.424;102.3122;92.3656;103.1052;105.1143
31.03.2004;95.4465;101.0165;100.6723;101.9975;92.7909;103.324;106.5081
30.04.2004;96.2516;101.3288;101.0298;102.11;93.4885;103.3245;107.1971
31.05.2004;96.4741;101.1078;100.773;102.2827;93.4928;103.3956;105.6051
30.06.2004;96.6405;101.7593;101.4777;101.7513;93.9619;103.52;109.0346
31.07.2004;95.6291;100.8312;100.5169;102.0751;94.0807;103.4775;103.4314
31.08.2004;95.9835;100.1149;99.6716;102.3487;93.81;102.9202;99.6515
30.09.2004;95.989;100.4153;99.9752;101.6884;93.459;103.3625;102.3985
31.10.2004;96.8889;100.4209;99.9828;102.3981;93.7092;103.521;100.2251
30.11.2004;96.9819;100.0678;99.6928;103.0006;93.3186;103.1587;99.1839
31.12.2004;96.8233;100.3156;99.887;102.5494;93.1634;103.4901;100.8284
31.01.2005;96.3739;100.5928;100.1744;102.6133;93.819;103.6071;101.2723
28.02.2005;96.5857;101.1621;100.8333;102.4031;93.3484;102.9238;106.9222
31.03.2005;96.822;101.0456;100.7872;102.5001;92.8339;102.4782;107.791
30.04.2005;97.6146;100.9112;100.6456;102.711;92.4019;102.4638;107.3448
31.05.2005;97.5177;100.6465;100.3682;102.4529;92.8876;102.4187;105.8055
30.06.2005;97.2985;100.9346;100.7163;102.4252;93.414;102.4635;106.84
31.07.2005;96.7662;99.9192;99.607;102.2734;93.1558;102.0545;102.0959
31.08.2005;96.9056;99.52;99.1469;102.1981;92.5469;101.9987;100.4819
30.09.2005;97.3296;99.4879;99.1239;101.9497;91.54;101.5907;102.7582
31.10.2005;98.1807;99.0151;98.6244;101.3218;91.5387;101.4553;100.7895
30.11.2005;97.9047;98.8364;98.4283;101.6508;91.3563;101.7648;99.1272
31.12.2005;97.7977;98.8039;98.3779;101.093;90.9302;101.4768;100.6617
31.01.2006;97.618;99.6523;99.3136;101.1023;91.3153;101.4078;105.2897
28.02.2006;97.9221;100.2957;100.0782;100.8505;92.014;100.619;109.7821
31.03.2006;97.8181;99.8227;99.4309;101.0741;91.417;101.2285;106.4812
30.04.2006;98.6485;99.794;99.4121;101.3111;91.225;101.5727;105.9765
31.05.2006;98.8458;99.858;99.5053;100.8466;91.3736;101.2712;107.3893
30.06.2006;98.8184;100.333;100.0238;101.1422;91.0101;101.4465;110.2835
31.07.2006;98.1448;100.0375;99.7198;101.0851;91.5763;101.2578;108.1928
31.08.2006;98.3128;100.322;99.984;101.0522;91.2298;100.946;109.7781
30.09.2006;98.1023;101.3818;101.2341;100.8697;91.3409;101.4153;115.8241
31.10.2006;98.4346;99.9387;99.6654;100.903;91.2637;101.4802;107.755
30.11.2006;98.392;99.4946;99.2107;100.6209;91.7278;101.4211;105.1344
31.12.2006;98.405;99.4386;99.0927;100.8659;90.6626;101.1237;105.9506
31.01.2007;97.7176;100.4207;100.1808;100.8488;92.1141;101.256;109.0272
28.02.2007;97.9109;100.316;100.0292;100.8336;91.5283;100.636;109.7704
31.03.2007;97.9872;99.788;99.4409;101.0338;91.2232;101.0759;106.3352
30.04.2007;99.0963;100.5517;100.2515;100.7761;91.6999;101.305;109.9489
31.05.2007;99.3281;100.0941;99.7895;100.8352;91.9988;101.0094;107.6673
30.06.2007;99.4418;100.6027;100.3504;100.4568;92.6525;100.9045;110.0211
31.07.2007;98.8518;100.2874;100.0685;100.7461;92.1309;100.6841;109.1544
31.08.2007;98.7413;100.4318;100.178;100.8075;92.2349;100.2918;109.5294
30.09.2007;98.8353;100.6385;100.3697;100.6024;92.1245;100.5041;111.3314
